time.stamp,u   ,v   ,w   ,t   ,q   ,c
    0.00,  0.66, -2.24, -0.42, 29.22,1294.5311,  22.5802
    0.10,  0.71, -2.20, -0.44, 29.06,1307.7761,  22.5325
    0.20,  0.67, -2.17, -0.40, 29.21,1311.7924,  22.5155
    0.30,  0.61, -2.21, -0.33, 29.25,1288.6349,  22.6082
    0.40,  0.44, -2.53, -0.12, 29.40,1204.2085,  22.9354
    0.50,  0.52, -2.52, -0.14, 29.35,1186.7764,  23.0074
    0.60,  0.33, -2.47, -0.17, 29.17,1190.1090,  22.9867
    0.70,  0.69, -3.10, -0.47, 29.22,1200.5341,  22.9391
    0.80,  0.38, -2.83, -0.54, 29.06,1191.8180,  22.9708
    0.90,  0.28, -2.83, -0.60, 29.24,1189.9380,  22.9867
    1.00, -0.12, -2.75,  0.15, 29.50,1178.8293,  23.0330
    1.10,  0.61, -2.60, -0.40, 28.72,1177.1202,  23.0343
    1.20,  0.16, -3.08, -0.06, 29.24,1174.0441,  23.0538
    1.30,  0.14, -2.73, -0.19, 28.56,1248.7289,  22.7926
    1.40,  0.06, -2.32, -0.52, 28.83,1184.0419,  23.0318
    1.50,  0.11, -2.64, -0.68, 28.33,1177.4620,  23.0746
    1.60,  0.41, -2.38, -0.82, 28.99,1174.0441,  23.0672
    1.70,  0.67, -2.24, -0.94, 28.97,1173.7021,  23.0843
    1.80,  1.00, -2.48, -0.23, 28.86,1174.6422,  23.0685
    1.90,  1.00, -1.96, -0.23, 29.00,1169.7714,  23.0904
    2.00,  0.38, -1.48, -1.05, 28.72,1168.5751,  23.1002
    2.10,  0.32, -1.48, -0.74, 28.85,1170.7114,  23.0855
    2.20,  0.46, -1.88, -0.64, 29.08,1181.8201,  23.0367
    2.30,  0.53, -1.88, -0.75, 29.14,1208.3102,  22.9329
    2.40,  1.01, -1.89, -1.01, 29.46,1215.0609,  22.9098
    2.50,  0.72, -2.00, -0.84, 28.31,1203.6958,  22.9488
